athlete_id,athlete_uid,anon_id,playing_level
ATHLETE_0067,30667a5e-5b48-4398-abbc-57e0b94a1b46,P-6066D187,College
ATHLETE_0068,676bcad7-4b2e-4f81-8e31-aa37b6d6d787,P-B5A8E80C,College
ATHLETE_0069,b06c2139-3da9-4e54-a268-9960bed3c764,P-9E938071,College
ATHLETE_0070,21583cbb-0b7f-4308-b1a4-59c84a268dd7,P-C93D1164,College
ATHLETE_0071,9d523124-2701-49d0-835c-0e319e8e2dae,P-BA21BABD,College
ATHLETE_0072,b7b2f369-d440-4ffe-80d7-3def62c971d7,P-05DA6CE6,College
ATHLETE_0073,ee641147-d00a-4dc3-8900-0cc49fe6276d,P-C32794AC,College
ATHLETE_0074,19ad815d-e363-4db3-b0b2-afda3a366b40,P-6A1761BE,College
ATHLETE_0075,24c900e8-50a2-48f8-8bb3-7a98486cff37,P-85E8226D,College
ATHLETE_0076,dc7adf99-d591-458c-91b9-1f1d99c07263,P-0A75FBB9,College
ATHLETE_0077,39ba2241-f42f-4c1b-9250-57deeabf2b26,P-A3938857,College
ATHLETE_0078,7abb04ba-d16e-40f4-9886-b8655e02be94,P-221EF5EF,College
ATHLETE_0079,df9af48e-d659-4053-8179-4e095b0f0fcb,P-43D8B28E,College
ATHLETE_0080,098076df-dbac-4188-a150-9ea90f6fb41d,P-0FDF6B40,College
ATHLETE_0081,3a1510cc-be4d-4c13-aa61-c34ecefcf58c,P-A49E3BE5,College
ATHLETE_0082,96a61ff7-318d-4149-8ad3-fed5acf1e060,P-4FE317D4,College
ATHLETE_0083,3cb94054-ca00-42c4-ae6c-807616ffb851,P-843E06DF,College
ATHLETE_0084,5b4013d9-73a0-4193-9779-8ac8b4271e61,P-17ADC2C9,College
ATHLETE_0085,a68e16ee-9583-4e43-a240-a2be3cb9feb9,P-32032106,College
ATHLETE_0086,ca4a9cf4-49d6-43cf-a08a-422a1e95b2e7,P-D845542D,College
ATHLETE_0087,80979d72-a264-4fa7-bc1e-df683f0a91cc,P-BC4FB135,College
ATHLETE_0088,cad3b788-08cf-4c29-926d-a001670a6c30,P-5FB02078,College
ATHLETE_0089,e36fd61e-b20b-40ca-9417-93f5b5d89a0a,P-AA3BDCCD,College
ATHLETE_0090,8dd52b81-007c-421f-b96c-ca61c8395ad2,P-ABE97C45,College
ATHLETE_0091,b225a9d9-5dd4-47a1-82a8-a893cf22672f,P-AC6B3F92,College
ATHLETE_0092,babcba2c-70da-4842-89da-befafa3884a9,P-6C6D41B0,College
ATHLETE_0093,c33400cd-a0fa-4cff-8bf8-1d69161d99b5,P-28DA7425,College
ATHLETE_0094,0468cc13-4cce-4360-a8af-cb1afba8e280,P-80E15B27,College
ATHLETE_0095,ebe1a30e-5612-4193-9ef5-42298499de6e,P-2A35B329,College
ATHLETE_0096,fad6a73a-d461-4cf4-a74e-fd310002ac24,P-4FB0DD2F,College
ATHLETE_0097,7a05f478-d6ea-426d-b056-e79ce3bdef2a,P-3E8EABA6,College
ATHLETE_0098,8f08d683-49ed-4bfe-84ee-959b6f68badf,P-3853979C,College
ATHLETE_0099,fb586199-e0fd-4459-bb63-2cbd4f5a4d78,P-E85C5539,College
ATHLETE_0100,ae00dacc-979e-4563-94f4-4f906505d912,P-616A2EB1,College
ATHLETE_0101,3a6bea7a-62fa-4f88-bf6b-9b1787ca365e,P-B6FA6AAC,College
ATHLETE_0102,5c22bb1c-6c02-4fbd-b519-37bce5761801,P-98B1093A,College
ATHLETE_0103,0f804358-6073-4080-8366-a9c7e7651d8c,P-687DADE4,College
ATHLETE_0104,2ceeb5ed-24b3-4325-9e99-6c336b5e1f1f,P-6AE2DBB7,College
ATHLETE_0105,7d13191e-3a2a-4fd6-9ab8-60f6172de77c,P-2A9781BB,College
ATHLETE_0106,9e8e707e-ddb4-44c8-ad67-e3761e6f072a,P-9B71D4CE,College
ATHLETE_0107,fdb1dd7c-8715-40e2-8044-87017be8eff5,P-0CE6B681,College
ATHLETE_0108,a5843cf8-d7bb-4cff-aa14-deef40c70089,P-0F54A230,College
ATHLETE_0109,cccd158a-37ac-489b-b6e9-b35eedb13cf4,P-B101B88E,College
ATHLETE_0110,59b95e48-9c37-4d32-9ec1-437ea3aa9fa9,P-2453F1AB,College
ATHLETE_0111,988dfe28-bcb2-456e-9511-1b1181a7506c,P-67AB22C6,College
ATHLETE_0112,c8fdcfb2-18dc-46b1-bed4-f2699c29a78d,P-82AE0426,College
ATHLETE_0113,f1610ff0-4c3d-48c0-b060-4b264b4a3676,P-3903D8DE,College
ATHLETE_0114,b557334d-0076-495e-8c77-bcdcbdea42bb,P-8278EF77,College
ATHLETE_0115,8ffe9e10-b89c-400b-bc7d-1a77dd24322d,P-FC1CC72F,College
ATHLETE_0116,30001a5c-b2d4-4653-8d38-308779f028e8,P-EF60FA2B,College
ATHLETE_0117,61bf1db5-9408-431b-9529-71c6a62925ea,P-490AB1CF,College
ATHLETE_0118,a10b2ff0-5b6d-4b72-97cd-22f12ba70ba2,P-CE71903F,College
ATHLETE_0119,c2e809f2-99aa-4b11-9910-ada444d5c95d,P-10A83E88,College
ATHLETE_0120,35875d31-a7dd-4f90-a43e-4c1bc0d8a18c,P-F9FFD1A6,College
ATHLETE_0121,6dc23a11-4b98-41f4-8d7b-9dc547cefa28,P-BF81F013,College
ATHLETE_0122,d047f752-577f-4ad5-80a1-6a58862df0f6,P-DF955A90,College
ATHLETE_0123,8256fb34-5f3f-4352-9719-8b60447d7a31,P-74A02057,College
ATHLETE_0124,43d9ff77-6248-443f-a8d3-716d3fdced31,P-764D823E,College
ATHLETE_0125,0fa40f47-48b6-4bd5-9895-0b37350bd159,P-41C6909A,College
ATHLETE_0126,b89b7d02-2d3f-45c8-bb6f-e10d29911251,P-2CB270F7,College
ATHLETE_0127,a24f33fa-2a6c-4289-bb99-1119c4ec503c,P-B50F9D07,College
ATHLETE_0128,4859416e-9b97-4c74-8bf9-aa103adb7708,P-3C68793E,College
ATHLETE_0129,701be724-79b2-4173-89af-c1133e38f4f2,P-50FACF14,College
ATHLETE_0130,6622722e-3039-49c1-b16d-ecc18b6553ec,P-17BBF40D,College
ATHLETE_0131,5779c278-e820-48bf-8acb-bdc5985b70ac,P-D31A5E40,College
ATHLETE_0132,461e9845-9fcc-4719-a783-13c99de8f966,P-AD8FAE67,College
ATHLETE_0133,5e625a25-ad08-4397-b350-db278305d764,P-B728EF7B,College
ATHLETE_0134,8dee95ab-5cb2-492d-b73a-96bba3139d58,P-E949A1CE,College
ATHLETE_0135,9d099023-a97b-45ac-9138-e9bc09afac0c,P-29BAFA0C,College
ATHLETE_0136,d7683a4e-df0c-4cfa-b6e4-dfd064a83a5b,P-5DDA7752,College
ATHLETE_0137,e69f30e8-1b28-4b54-b39c-0ef326245558,P-200CC6AE,College
ATHLETE_0138,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,P-D65E9051,College
ATHLETE_0139,6fef41a4-8304-4593-a405-c768bab66505,P-D78E80A6,College
ATHLETE_0140,c46188e9-18ad-47de-bb99-d75611f3fe4d,P-847BCFC1,College
ATHLETE_0141,ec25b053-0fc0-4cf2-a6ee-9611954e8fb0,P-908B203C,College
ATHLETE_0142,4a556589-20a5-4f37-9083-c5500740526b,P-ED22253E,College
ATHLETE_0143,5f09c319-2004-4431-8665-8e6b4ace6a59,P-A2217BEE,College
ATHLETE_0144,7a2f46d6-7d06-409a-a6c3-ff0ade36e8de,P-FCF86DFE,College
ATHLETE_0145,9f1b892d-c9f6-4ddd-9709-2f6a8596e818,P-D4CB5AE6,College
ATHLETE_0146,c526fcde-7d37-463e-a7c6-3f1e32c2832d,P-8569E172,College
ATHLETE_0147,011eceda-668a-4144-ad77-a7ebbe459488,P-A60D2CF1,College
ATHLETE_0148,7badf75f-3f40-4722-adb3-fc8d5788791a,P-87744F76,College
ATHLETE_0149,083a2f02-e6f6-4bae-adf9-7d5878087ed2,P-A846FE5A,College
ATHLETE_0150,7c834cf0-c07e-42c6-a45b-3f6f5dfcc927,P-CC9D1B18,College
ATHLETE_0151,8e25a824-e509-4808-a079-9eec0619a64c,P-046051B7,College
ATHLETE_0152,92cafd62-ae51-4da2-bf9c-0e4ebb42fdb9,P-D61ADA89,College
ATHLETE_0153,3bf2f205-d9c3-44cb-9750-7eeefeecc1c9,P-786ED6A2,College
ATHLETE_0154,8e49f31e-be7a-443e-b986-e298e713dacd,P-903909C4,College
ATHLETE_0155,6cf00ba0-a385-4642-aa90-c71e543e9a39,P-723109CD,College
ATHLETE_0156,273df7fc-4751-41f2-9b31-69268e6ede1c,P-7B96C038,College
ATHLETE_0157,a682bdc3-f93f-454a-9361-3a5db17adec3,P-402CEEF2,College
ATHLETE_0158,eb367f8f-5dd8-419e-b928-a0f8e3172b89,P-461C7EEF,College
ATHLETE_0159,96dbc0b8-10db-4284-bfd6-725247c2782f,P-F6551402,College
ATHLETE_0160,311f163d-0acb-4447-9381-d8fb5b6c8f66,P-B1F8EC63,College
ATHLETE_0161,82b0b250-94f9-4a9d-acb3-e2f2f3c006e4,P-E5DB6E67,College
ATHLETE_0162,c9e14aa1-154a-4171-bc53-bbe8e539f715,P-A8264976,College
ATHLETE_0163,e70278af-2e67-4f6e-88fd-2d2870f7c633,P-15464AE3,College
ATHLETE_0164,ea5fea05-842a-4631-8441-03a2025d164a,P-E25DCAA5,College
ATHLETE_0165,4a2b5f1b-771e-4fe3-9e78-ace2e1f16f9b,P-8676D1B9,College
ATHLETE_0166,e0e1b11d-ecd9-4dbf-916d-42e05177b6c3,P-A946A6CA,College
ATHLETE_0167,06936ab0-6941-400a-acf9-c3bc6417030c,P-FF3E7B71,College
ATHLETE_0168,31e2bad2-783a-4384-88bc-1dbb67d704cb,P-CC3C5126,College
ATHLETE_0169,55554a98-d18a-47db-9d35-99cc7e20381a,P-11D1CE33,College
ATHLETE_0170,57cf6a24-e3a4-4312-97d7-e17263e8f912,P-7A3380E7,College
ATHLETE_0171,36381ace-f59d-425c-8c76-810c93eeaf67,P-EEBB1EF0,College
ATHLETE_0172,8bb39401-e332-4baa-b244-b16474a6610a,P-015DCE83,College
