test_date,playing_level,bat_speed_mph_group,pitch_speed_mph_group,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR,pitching_session_date,pitch_speed_mph,pitching_max_hss,hitting_session_date,bat_speed_mph,hitting_max_hss,relative_strength,body_weight_[lbs],athlete_uid,athlete_id,session_num
2022-12-20,College,65-70,,46.38,8410.33,5845.47,66.97,10631.99,470.0,208.5,0.72,-27.77,-3.51,-6.25,-0.05,2.16,2653.42,2632.82,297.5,38.01,5404.91,61.93,2.67,4.58,3903.7,3048.27,1352.4,1837.0,2252.8,60940.18,33.53,2.82,193.38,,,,,75.0,72.0,44.2,50.6,70.1,64.7,,,,2022-12-22,68.3,18.0,3.56,192.02,5779c278-e820-48bf-8acb-bdc5985b70ac,ATHLETE_0131,2
2023-08-22,College,<65,,41.33,10045.03,5715.67,64.38,12534.83,392.0,201.25,0.76,-25.73,-3.21,-6.8,-0.78,7.04,2747.02,2688.51,179.73,32.86,4921.7,55.43,-1.9,10.43,4656.2,3791.16,1677.3,2182.4,2595.7,48389.42,30.89,2.74,169.66,,,,,64.0,68.0,59.6,60.0,62.0,57.8,,,,2023-08-21,62.9,12.3,4.35,195.34,5779c278-e820-48bf-8acb-bdc5985b70ac,ATHLETE_0131,3
2023-12-20,College,65-70,,43.28,10186.6,6014.93,66.19,12224.96,398.75,199.0,0.77,-25.93,1.64,4.72,1.33,-4.51,2812.63,2775.31,144.25,39.54,5317.86,58.52,8.99,2.01,5087.18,4193.79,1991.6,2690.15,3496.18,70250.61,27.43,2.66,153.99,,,,,69.0,70.0,51.6,49.4,39.0,49.7,,,,2023-12-19,68.5,15.0,4.71,199.91,5779c278-e820-48bf-8acb-bdc5985b70ac,ATHLETE_0131,4
2022-12-13,College,65-70,,51.99,4813.59,5988.46,68.53,4778.19,582.33,254.33,0.64,-36.27,6.81,-1.47,7.05,-2.36,2227.69,2141.78,413.46,49.03,5869.37,67.17,3.71,1.82,4986.2,4136.75,3156.2,3291.9,3294.4,54696.69,33.53,2.85,185.75,,,,,62.0,51.0,56.4,60.3,57.9,50.3,,,,2022-12-15,67.6,23.3,4.83,192.24,8dee95ab-5cb2-492d-b73a-96bba3139d58,ATHLETE_0134,1
2023-05-24,College,,85-90,52.45,7030.2,6532.32,74.88,7543.52,440.25,216.5,0.83,-30.53,4.88,-1.28,3.69,3.18,2540.53,2374.55,235.27,49.32,6180.96,70.86,6.61,7.2,5993.11,5134.24,1446.32,1937.0,2701.53,56812.94,37.62,2.83,191.35,,,,,70.0,60.0,57.6,72.8,71.0,83.7,2023-05-25,87.0,32.9,,,,6.0,191.91,8dee95ab-5cb2-492d-b73a-96bba3139d58,ATHLETE_0134,2
2024-01-05,College,65-70,90+,50.83,7107.8,6513.38,71.31,7397.45,454.75,226.25,0.79,-30.9,-0.18,-13.95,-1.06,7.92,2563.09,2401.3,226.1,43.92,5905.6,64.66,-1.05,9.78,5856.0,4966.24,1687.0,2048.2,2249.9,38741.35,32.89,2.7,163.63,,,,,63.0,59.0,59.6,54.7,56.4,55.7,2024-01-04,90.5,34.4,2024-01-04,68.1,19.9,5.54,200.95,8dee95ab-5cb2-492d-b73a-96bba3139d58,ATHLETE_0134,3
2022-12-13,College,65-70,,46.54,7073.56,6058.35,63.99,8687.73,458.5,231.0,0.74,-34.53,12.57,17.64,12.93,10.82,2653.9,2647.59,203.48,42.33,5543.32,58.54,-4.3,9.19,4142.0,3215.57,2586.5,3179.6,3186.3,40474.96,44.28,3.21,233.15,,,,,74.0,65.0,47.0,46.9,43.1,54.3,,,,2022-12-12,69.9,27.7,3.46,208.32,9d099023-a97b-45ac-9138-e9bc09afac0c,ATHLETE_0135,1
2023-07-18,College,70+,,46.09,6879.99,6093.43,64.11,8334.58,443.0,248.0,0.76,-34.77,22.16,18.5,18.59,15.6,2525.9,2525.9,133.87,44.16,5718.39,60.16,5.2,7.35,4042.8,3114.31,1256.6,1780.9,2552.4,47403.57,36.54,2.85,189.75,,,,,81.0,67.0,48.0,54.0,70.2,52.9,,,,2023-07-17,71.2,22.9,3.34,209.11,9d099023-a97b-45ac-9138-e9bc09afac0c,ATHLETE_0135,2
2024-01-04,College,70+,,42.94,7532.94,5841.41,61.56,10859.22,429.67,241.0,0.76,-34.85,15.15,16.9,16.36,10.81,2655.84,2706.92,85.51,41.3,5620.72,59.24,-2.55,10.16,4300.97,3373.56,1480.31,2262.79,2919.37,48643.62,38.44,3.12,197.49,,,,,70.0,67.0,51.7,55.0,56.3,39.5,,,,2024-01-08,71.4,25.1,3.63,208.76,9d099023-a97b-45ac-9138-e9bc09afac0c,ATHLETE_0135,3
2022-12-20,College,<65,,35.61,5114.41,3915.27,50.89,5025.16,491.0,262.75,0.49,-31.25,6.65,18.92,3.86,-2.59,1851.59,1825.56,240.7,31.99,3812.0,49.55,2.65,0.73,2868.4,2110.54,885.3,968.9,1072.4,49350.08,24.28,2.6,146.68,,,,,40.0,35.0,28.6,21.2,20.9,29.4,,,,2022-12-19,56.5,22.8,2.8,169.27,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,ATHLETE_0138,1
2023-09-13,College,<65,,33.81,5516.24,3905.08,47.12,6958.86,485.0,286.5,0.45,-34.84,13.43,18.12,6.2,-3.27,1946.31,1953.19,39.43,31.35,3704.55,44.7,3.16,-1.25,3185.1,2377.33,1174.8,1366.9,1575.7,49627.96,24.82,2.6,139.42,,,,,46.0,54.0,43.8,36.1,34.4,38.2,,,,2023-09-11,57.0,17.0,2.92,182.34,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,ATHLETE_0138,2
2023-12-27,College,<65,,37.5,5687.89,4089.79,49.63,7483.11,469.75,278.0,0.5,-35.06,11.75,20.32,6.64,-0.41,2082.92,2097.92,102.17,35.74,4027.92,48.88,-0.31,0.4,3580.69,2766.35,1173.89,1396.3,1676.84,60861.09,23.09,2.69,143.42,,,,,55.0,56.0,46.9,46.2,32.0,32.9,,,,2024-01-02,60.3,18.5,3.42,181.28,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,ATHLETE_0138,3
2024-02-09,College,<65,,37.6,6306.35,4329.54,51.64,7642.03,444.67,257.33,0.55,-32.15,10.41,10.45,7.91,0.58,2102.14,2110.16,81.62,37.07,4249.15,50.68,4.11,1.94,3605.2,2786.64,1412.1,1710.9,1997.3,55846.25,21.93,2.54,131.42,,,,,49.0,51.0,41.1,47.5,37.5,43.2,,,,2024-02-12,64.5,24.0,3.39,184.45,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,ATHLETE_0138,4
2024-04-09,College,<65,,38.2,5340.04,4207.39,50.82,5746.59,494.25,274.25,0.5,-34.66,13.33,16.38,10.15,2.94,2040.82,2035.56,186.87,34.32,3960.63,47.84,0.47,3.66,3877.9,3066.6,1128.0,1257.3,1387.2,53635.33,23.09,2.68,141.28,1236.67,829.79,-4.9,-1.9,50.0,59.0,46.2,44.4,42.0,44.9,,,,2024-04-15,64.3,24.1,3.78,182.14,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,ATHLETE_0138,5
2024-05-21,College,,<80,34.59,5832.02,3906.08,46.85,7782.54,444.67,288.0,0.48,-35.63,13.37,17.32,7.24,-5.35,2137.12,2146.74,70.52,32.92,3646.24,43.73,4.31,1.7,3861.6,3044.9,1528.7,1848.0,2131.9,47230.1,24.38,2.52,132.01,1184.3,836.19,-1.73,0.35,51.0,53.0,,18.4,,26.9,2024-05-30,70.3,26.4,,,,3.72,183.41,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,ATHLETE_0138,6
2024-07-09,College,,<80,38.53,5355.19,4084.45,49.65,6884.1,468.67,292.33,0.5,-37.72,14.58,21.13,9.62,-3.35,2125.0,2126.84,108.67,35.48,3749.68,45.59,10.79,0.37,3714.2,2908.68,1465.5,1839.8,2171.3,56558.95,26.51,2.82,159.13,1246.22,823.93,-0.8,2.89,49.0,52.0,,40.4,,41.7,2024-07-11,68.9,15.6,,,,3.61,180.97,7ad5adc6-1ba0-4cfb-ab9d-61759077e0dd,ATHLETE_0138,7
2023-01-04,College,<65,,35.58,7700.85,4792.35,52.42,8822.78,420.5,238.0,0.55,-29.48,-2.65,-6.79,0.21,-0.06,2460.99,2479.03,207.95,32.33,4453.57,48.72,-0.49,2.61,3195.9,2299.47,1313.3,1583.4,1959.6,57147.51,28.24,2.7,148.97,,,,,50.0,50.0,53.3,60.7,70.6,55.8,,,,2023-01-03,62.4,28.9,2.56,201.12,4a556589-20a5-4f37-9083-c5500740526b,ATHLETE_0142,1
2023-02-14,College,<65,,36.23,7793.88,4812.81,52.24,9623.44,418.5,246.5,0.57,-30.96,-4.27,-9.22,0.2,4.11,2494.38,2511.64,98.67,31.49,4550.07,49.39,-5.7,0.42,3413.3,2508.54,1168.1,1328.6,1584.6,43686.43,25.94,2.58,146.93,,,,,63.0,62.0,49.4,53.3,47.0,55.5,,,,2023-02-16,63.0,26.3,2.78,202.69,4a556589-20a5-4f37-9083-c5500740526b,ATHLETE_0142,2
2023-03-29,College,<65,,34.36,8710.89,4926.32,52.12,9582.32,396.25,232.25,0.56,-28.2,2.8,-1.12,1.19,6.48,2575.29,2580.78,135.84,30.72,4551.7,48.16,4.73,4.12,3611.1,2683.49,1348.6,1572.3,1810.9,48730.76,26.51,2.53,136.98,,,,,54.0,56.0,45.6,51.7,51.5,42.2,,,,2023-03-30,63.3,25.7,2.9,207.94,4a556589-20a5-4f37-9083-c5500740526b,ATHLETE_0142,3
2023-01-17,College,65-70,,46.92,5991.44,5972.6,64.95,7470.8,527.5,239.25,0.63,-35.56,1.73,-5.17,2.99,1.81,2474.34,2429.55,297.39,38.02,4860.57,52.86,8.43,4.83,4259.0,3359.04,1374.8,1611.0,1959.9,34617.41,28.24,2.4,137.04,,,,,55.0,57.0,43.0,46.7,30.7,39.5,,,,2023-01-16,66.1,17.8,3.72,202.31,c526fcde-7d37-463e-a7c6-3f1e32c2832d,ATHLETE_0146,1
2023-03-09,College,<65,,50.48,6298.04,6284.37,66.61,8153.71,519.0,246.25,0.68,-35.85,-4.78,-12.02,-1.89,1.2,2584.32,2559.93,298.65,43.1,5483.2,58.12,8.3,1.2,3810.5,2881.12,1743.7,2349.8,2792.2,121934.5,29.55,2.59,157.92,,,,,54.0,59.0,42.2,46.9,34.3,39.4,,,,2023-03-06,64.9,22.1,3.11,207.57,c526fcde-7d37-463e-a7c6-3f1e32c2832d,ATHLETE_0146,2
2023-04-20,College,65-70,,47.78,6459.13,6063.97,63.95,8678.16,518.0,242.75,0.67,-37.43,3.67,-3.46,4.26,0.71,2638.63,2648.25,227.17,39.75,5033.88,53.09,12.28,-3.42,4547.5,3617.63,1449.5,1908.7,2365.5,,,,,,,,,54.0,64.0,44.5,46.2,32.3,47.2,,,,2023-04-24,67.3,26.0,3.89,208.6,c526fcde-7d37-463e-a7c6-3f1e32c2832d,ATHLETE_0146,3
2023-01-31,College,70+,,39.94,7309.89,5859.43,54.49,8326.24,502.0,266.25,0.59,-34.52,12.88,17.49,11.65,5.94,2778.12,2765.66,248.36,34.54,5846.69,54.37,8.9,10.8,5554.3,4502.83,1816.1,2838.0,3555.7,50809.61,33.66,2.47,153.07,,,,,58.0,65.0,50.7,52.9,64.2,48.8,,,,2023-01-30,70.2,31.6,4.27,236.59,011eceda-668a-4144-ad77-a7ebbe459488,ATHLETE_0147,1
2023-03-16,College,65-70,,39.14,6064.16,5542.08,54.47,7465.96,564.25,290.75,0.54,-39.09,12.84,17.76,13.61,9.5,2604.15,2593.45,238.19,35.68,5522.47,54.27,11.82,9.47,5230.2,4234.33,1615.9,2292.7,3310.9,46688.93,32.64,2.6,163.77,,,,,50.0,70.0,51.2,51.1,51.4,44.0,,,,2023-03-16,68.2,26.9,4.24,223.87,011eceda-668a-4144-ad77-a7ebbe459488,ATHLETE_0147,2
2023-04-27,College,<65,,,,,,,,,,,,,,,,,,,,,,,5617.9,4625.96,1909.5,2571.9,3332.3,,,,,,,,,71.0,81.0,54.8,50.7,,48.8,,,,2023-04-24,52.2,24.5,,,011eceda-668a-4144-ad77-a7ebbe459488,ATHLETE_0147,3
2023-02-07,College,,<80,44.66,5626.5,5308.33,60.77,8828.11,484.75,279.25,0.6,-40.11,-2.5,-4.2,-1.15,6.62,2297.58,2319.14,62.5,37.12,4852.81,55.56,11.66,5.51,4130.2,3275.75,1743.6,2310.7,2720.9,41431.82,27.31,2.64,153.23,,,,,72.0,63.0,52.3,53.1,43.7,57.3,2023-02-09,72.2,34.3,,,,3.82,192.17,083a2f02-e6f6-4bae-adf9-7d5878087ed2,ATHLETE_0149,1
2023-03-23,College,,85-90,40.71,5657.2,5340.73,61.16,7051.33,453.0,274.25,0.57,-35.37,10.01,-1.46,-3.02,4.38,2220.66,2101.31,103.18,35.13,4777.72,54.72,7.08,4.22,3829.9,2976.23,1701.1,2125.0,2466.4,27731.41,28.24,2.25,130.25,,,,,77.0,64.0,55.4,61.5,52.7,48.8,2023-03-30,85.7,32.8,,,,3.48,192.1,083a2f02-e6f6-4bae-adf9-7d5878087ed2,ATHLETE_0149,2
2023-06-15,College,,85-90,43.46,5984.5,5422.53,59.75,8905.88,444.75,275.25,0.65,-40.17,4.22,-1.31,1.71,8.46,2411.71,2450.04,49.14,37.86,5107.8,56.29,2.75,3.94,4217.2,3332.84,2224.8,2823.5,3007.5,38494.35,31.14,2.57,152.93,,,,,60.0,43.0,60.5,46.4,58.5,57.1,2023-06-28,85.3,33.3,,,,3.74,199.65,083a2f02-e6f6-4bae-adf9-7d5878087ed2,ATHLETE_0149,3
2023-02-22,College,,<80,,,,,,,,,,,,,,,,,,,,,,3247.5,2468.75,1196.2,1580.4,2001.8,,,,,,,,,63.0,60.0,42.2,40.0,34.8,39.9,2023-02-21,71.6,40.8,,,,,,3bf2f205-d9c3-44cb-9750-7eeefeecc1c9,ATHLETE_0153,1
2023-02-23,College,,<80,29.07,4757.27,3409.21,43.34,6041.63,436.0,298.67,0.48,-36.95,6.81,2.76,9.41,6.99,1791.82,1804.88,61.25,25.06,3194.51,40.59,-1.76,3.47,,,,,,,,,,,,,,,,,,,,2023-02-21,71.6,40.8,,,,,173.07,3bf2f205-d9c3-44cb-9750-7eeefeecc1c9,ATHLETE_0153,2
2023-07-26,College,,<80,25.35,4436.16,3032.34,39.21,5051.88,458.0,312.5,0.45,-38.93,5.1,0.93,7.59,8.16,1711.54,1741.45,19.11,23.59,2895.87,37.44,2.2,5.38,3198.2,2446.32,1047.8,1415.9,1527.4,94560.47,27.66,2.39,136.95,,,,,66.0,63.0,37.3,42.6,29.7,32.9,2023-07-25,78.3,48.4,,,,3.23,170.17,3bf2f205-d9c3-44cb-9750-7eeefeecc1c9,ATHLETE_0153,3
2024-05-24,College,,80-85,26.24,5273.01,3298.85,40.25,5762.22,417.33,292.33,0.5,-35.84,-0.45,3.57,2.87,4.97,1871.76,1918.32,34.55,23.47,3078.91,37.56,8.64,8.36,3291.4,2485.29,1066.8,1512.2,1793.1,36643.55,29.43,2.41,145.05,850.13,850.13,-0.73,-0.69,60.0,65.0,,49.1,,42.9,2024-05-24,80.2,38.6,,,,3.09,180.33,3bf2f205-d9c3-44cb-9750-7eeefeecc1c9,ATHLETE_0153,4
2024-08-12,College,,80-85,30.69,5364.75,3820.06,44.51,6316.08,433.25,298.5,0.54,-38.68,6.33,4.86,1.68,0.45,2113.67,2154.06,80.18,24.24,3408.41,39.72,1.95,4.55,3365.2,2521.14,1776.6,2179.9,2509.0,44313.14,28.01,2.54,151.5,871.25,871.25,1.1,1.13,66.0,70.0,,,,,2024-08-12,82.7,44.2,,,,3.0,188.8,3bf2f205-d9c3-44cb-9750-7eeefeecc1c9,ATHLETE_0153,5
2023-02-28,College,,<80,34.64,7131.33,4534.61,52.52,8686.03,425.0,235.5,0.57,-28.99,6.27,0.63,8.32,9.53,2161.78,2133.73,72.4,30.0,3926.35,45.47,0.74,8.4,3619.4,2772.6,1252.7,1570.6,2009.9,,,,,,,,,60.0,55.0,40.1,48.2,36.2,34.5,2023-03-01,70.5,42.1,,,,3.27,189.97,8e49f31e-be7a-443e-b986-e298e713dacd,ATHLETE_0154,1
2023-04-12,College,,<80,33.95,9111.82,4580.29,52.59,11051.81,372.25,220.5,0.62,-26.14,7.58,4.25,10.48,14.09,2383.92,2385.36,37.51,29.73,4008.17,46.02,4.02,11.49,3761.2,2909.0,1346.8,1731.7,2190.2,17851.71,31.14,2.15,134.96,,,,,55.0,64.0,41.7,39.5,38.8,38.3,2023-04-20,71.4,39.9,,,,3.41,191.62,8e49f31e-be7a-443e-b986-e298e713dacd,ATHLETE_0154,2
2023-05-25,College,,<80,38.11,6639.47,4845.91,55.7,9193.66,417.25,265.0,0.62,-34.35,6.03,2.02,7.81,12.2,2253.93,2281.98,12.75,32.98,4261.72,49.02,-4.32,9.56,3952.27,3096.54,1312.15,1700.34,2296.74,24606.13,33.53,2.23,136.34,,,,,55.0,66.0,48.2,48.0,34.0,41.5,2023-05-25,70.7,36.4,,,,3.63,191.4,8e49f31e-be7a-443e-b986-e298e713dacd,ATHLETE_0154,3
2024-03-26,College,,<80,37.79,5855.18,4247.28,54.44,7813.87,448.33,255.33,0.62,-34.02,4.71,5.04,7.92,14.85,2048.34,2056.65,71.67,32.75,3721.99,47.71,-2.46,9.51,3839.1,3074.28,1522.3,2070.5,2419.9,30069.87,36.41,2.64,172.22,,,,,62.0,54.0,,,,,2024-04-02,74.6,38.3,,,,4.02,171.64,8e49f31e-be7a-443e-b986-e298e713dacd,ATHLETE_0154,4
2023-03-02,College,,<80,44.33,4895.4,4613.01,56.68,7136.57,468.25,298.5,0.62,-42.04,-5.49,-7.29,-2.49,-4.31,2094.85,2106.18,48.55,40.85,4312.56,52.99,-3.48,-1.74,3352.7,2554.54,1415.5,2019.1,2239.1,,,,,,,,,46.0,68.0,52.0,42.2,58.0,35.7,2023-03-09,75.1,34.1,,,,3.2,179.06,6cf00ba0-a385-4642-aa90-c71e543e9a39,ATHLETE_0155,1
2023-04-13,College,,80-85,43.54,4522.26,4419.04,54.64,6933.75,489.25,323.5,0.61,-46.53,-8.25,-6.15,-6.77,-1.96,2113.66,2135.71,32.47,40.23,4196.03,51.88,-3.3,-2.28,3566.8,2772.46,1490.7,1915.8,2365.2,32857.84,26.39,1.88,106.24,,,,,75.0,65.0,55.0,50.4,67.2,46.4,2023-04-20,81.8,45.1,,,,3.5,177.94,6cf00ba0-a385-4642-aa90-c71e543e9a39,ATHLETE_0155,2
2023-05-27,College,,80-85,42.09,4415.69,4314.14,53.67,7051.54,489.25,338.25,0.56,-47.82,-7.13,-8.15,-1.68,-4.93,2089.7,2117.6,7.03,39.35,4167.44,51.84,-7.95,-1.35,3451.33,2661.01,1267.17,1914.63,2306.45,30438.27,22.56,1.89,101.12,,,,,73.0,77.0,52.5,55.4,52.2,56.0,2023-06-01,82.4,47.3,,,,3.38,176.86,6cf00ba0-a385-4642-aa90-c71e543e9a39,ATHLETE_0155,3
2023-11-11,College,,80-85,50.89,4839.04,4742.82,58.05,8359.93,500.25,357.25,0.56,-48.71,-10.99,-10.09,-5.79,-6.5,2370.59,2384.78,34.72,40.28,4443.34,54.38,-7.55,-0.93,3977.06,3173.6,1109.38,1622.92,2462.72,13747.17,22.88,1.77,92.94,,,,,78.0,64.0,50.4,53.2,57.9,45.9,2023-11-14,81.8,64.2,,,,3.96,179.76,6cf00ba0-a385-4642-aa90-c71e543e9a39,ATHLETE_0155,4
2023-12-23,College,,80-85,47.5,4480.22,4549.77,57.0,7284.48,525.33,334.0,0.62,-50.8,-7.13,-8.81,0.89,2.19,2252.76,2308.51,31.93,42.29,4410.84,55.26,-6.93,-1.4,3968.27,3184.62,1178.74,1328.83,1427.61,40604.24,27.31,1.91,110.53,,,,,71.0,67.0,50.9,48.7,62.8,48.4,2024-01-04,81.9,59.2,,,,4.07,175.6,6cf00ba0-a385-4642-aa90-c71e543e9a39,ATHLETE_0155,5
2024-03-12,College,,80-85,45.62,4435.86,4420.36,55.25,6949.16,504.67,333.33,0.61,-49.24,-8.69,-5.4,-3.19,0.04,2210.58,2236.75,52.45,39.98,4261.86,53.27,3.34,3.19,4743.2,3959.94,1583.1,1666.6,1847.9,82063.73,31.14,1.81,106.54,,,,,72.0,68.0,55.0,51.2,65.6,56.5,2024-03-19,82.7,55.0,,,,5.05,176.02,6cf00ba0-a385-4642-aa90-c71e543e9a39,ATHLETE_0155,6
2023-05-02,College,,80-85,33.95,6456.91,4691.92,50.16,7077.69,437.25,270.75,0.5,-32.61,-4.06,-10.25,-0.89,-1.38,2257.83,2257.83,154.2,33.29,4798.15,51.3,-7.92,-4.28,3384.62,2465.44,1776.87,2191.4,2336.16,37497.49,26.62,2.4,136.44,,,,,55.0,65.0,36.7,37.3,43.1,39.3,2023-05-01,81.5,31.0,,,,2.69,205.79,e70278af-2e67-4f6e-88fd-2d2870f7c633,ATHLETE_0163,1
2023-08-22,College,,<80,40.53,6885.12,5258.22,54.07,9157.54,438.0,277.75,0.6,-37.02,-4.84,-10.89,-3.67,5.18,2598.39,2616.79,71.92,36.49,5170.34,53.16,-4.37,1.79,4112.5,3164.69,1485.6,1732.9,2251.5,46181.12,27.19,2.53,152.45,,,,,60.0,62.0,47.5,46.2,43.0,44.6,2023-08-21,66.4,30.7,,,,3.32,213.97,e70278af-2e67-4f6e-88fd-2d2870f7c633,ATHLETE_0163,2
2023-11-14,College,,80-85,42.36,6699.55,5117.03,55.04,8743.98,427.25,277.25,0.62,-37.76,-4.72,-4.88,-2.91,-0.76,2555.26,2566.88,37.88,37.88,5360.52,57.65,-2.44,-1.86,4080.07,3166.68,1615.13,2022.15,2415.9,50950.22,32.13,2.73,168.43,,,,,60.0,72.0,45.7,40.5,43.1,48.3,2023-11-14,83.4,32.3,,,,3.47,204.56,e70278af-2e67-4f6e-88fd-2d2870f7c633,ATHLETE_0163,3
2024-04-30,College,,<80,40.23,6517.66,5103.92,55.06,8364.15,430.33,266.67,0.64,-37.69,-2.54,-3.04,-1.31,1.48,2508.93,2525.16,69.41,37.11,4979.4,53.71,-5.39,0.84,4002.8,3099.8,1514.7,1774.5,2093.7,38284.48,33.53,2.74,170.63,1142.31,1142.31,0.13,0.13,46.0,57.0,51.0,45.1,36.8,30.9,2024-04-30,0.0,30.8,,,,3.41,203.94,e70278af-2e67-4f6e-88fd-2d2870f7c633,ATHLETE_0163,4
2023-05-23,College,,<80,31.2,3586.99,4373.3,45.22,3591.64,668.0,352.0,0.31,-45.11,7.18,10.66,3.61,1.78,2058.7,2059.75,446.63,26.23,4033.79,41.71,5.78,2.12,4157.54,3208.35,1018.68,1128.46,1307.73,37957.4,27.66,1.78,102.83,,,,,45.0,55.0,29.2,29.4,26.9,21.6,2023-05-22,78.6,43.4,,,,3.38,212.78,31e2bad2-783a-4384-88bc-1dbb67d704cb,ATHLETE_0168,1
2023-07-06,College,,80-85,32.21,5379.0,4738.83,48.22,7174.59,547.25,298.0,0.44,-40.45,3.73,2.48,2.53,8.88,2377.04,2398.71,232.33,25.86,4194.02,42.68,12.2,5.39,4236.0,3280.93,1128.1,1185.7,1255.8,26965.35,27.89,1.97,115.03,,,,,67.0,66.0,44.4,48.7,41.2,43.4,2023-07-13,81.7,42.1,,,,3.4,216.19,31e2bad2-783a-4384-88bc-1dbb67d704cb,ATHLETE_0168,2
2024-05-07,College,,80-85,35.43,4875.77,4833.86,49.21,6091.53,563.33,306.67,0.45,-42.54,13.66,20.75,8.93,3.51,2278.13,2277.66,204.61,26.93,4109.76,41.83,8.17,8.3,3816.6,2853.39,1264.7,1412.6,1674.3,27479.0,28.48,1.99,117.35,1252.13,1056.91,-8.47,-10.39,62.0,59.0,,53.7,,37.5,2024-05-06,81.7,34.6,,,,2.96,216.13,31e2bad2-783a-4384-88bc-1dbb67d704cb,ATHLETE_0168,3
2023-05-30,College,,85-90,48.86,4410.74,5869.14,67.94,5284.31,595.0,282.25,0.57,-40.56,10.76,21.92,12.89,10.21,2138.68,2027.77,236.15,44.79,5487.67,63.52,19.03,13.02,3824.09,2978.66,1231.34,1503.85,2075.0,42923.02,33.15,2.92,184.17,,,,,58.0,53.0,46.1,51.0,35.6,37.1,2023-05-29,86.0,36.5,,,,3.52,190.06,7f0d3438-855d-486b-8298-1008f25fecc9,ATHLETE_0180,1
2024-01-04,College,,85-90,52.97,4353.97,6058.62,72.19,5502.9,588.0,266.0,0.73,-40.25,7.41,17.5,3.08,11.81,2186.55,2008.13,255.21,43.0,5609.12,66.83,15.73,14.95,4020.4,3197.43,1599.07,2108.7,2402.39,36291.79,44.87,3.15,216.01,,,,,70.0,66.0,36.7,45.8,36.5,30.7,2024-01-02,88.3,40.7,,,,3.88,184.65,7f0d3438-855d-486b-8298-1008f25fecc9,ATHLETE_0180,2
2024-08-06,College,,85-90,59.28,5124.36,5957.92,74.79,6792.17,546.67,269.0,0.87,-41.42,7.01,17.76,8.43,9.05,2283.04,2318.57,194.83,45.34,5500.44,68.43,14.39,14.76,4342.9,3558.86,1438.4,1858.4,2579.1,42891.18,43.11,3.37,239.46,1014.88,807.12,-4.9,-5.45,66.0,64.0,,,,,2024-08-06,89.7,30.7,,,,4.56,175.27,7f0d3438-855d-486b-8298-1008f25fecc9,ATHLETE_0180,3
2023-05-30,College,,85-90,41.02,8147.75,5822.16,60.4,11097.29,400.75,218.75,0.72,-32.19,-1.77,3.44,0.11,1.62,2675.25,2674.7,58.4,38.06,5237.61,54.34,4.64,2.33,4099.94,3153.4,1386.18,1665.98,2056.48,55157.67,24.38,2.44,128.93,,,,,55.0,56.0,40.7,51.8,65.4,59.1,2023-05-29,85.1,29.9,,,,3.34,212.06,8d105c9d-2527-4eb6-9f58-51862439a76a,ATHLETE_0181,1
